YEAR,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,ANNUAL
1985,,,,,,,,,,,15.5,18.6,
1986,20.8,19.9,17.5,16.1,13,10.5,9.3,10,12.3,15,16.1,17.4,14.8
1987,20.3,18.4,17.1,15.8,12.8,11.2,10.3,11.2,12.8,14.9,16.5,18.4,15
1988,19.2,20.8,17.8,15.3,14,11.4,11.3,11.9,13.9,14.8,17.4,19,15.6
1989,20.2,19.2,18.6,15.9,13,10.8,8.6,10.8,13.8,15.4,16.5,17.6,15
1990,19.6,21.1,19.5,17,13.7,10.1,10.9,11,10.8,15,16.2,18,15.2
1991,19.2,19.6,17.5,15.2,12.6,11,9.5,11.7,12.9,13.5,14.8,17.3,14.6
1992,19,19.3,16.7,13,11.8,9.9,11,10.6,11.1,13,16.9,17.9,14.2
1993,18.4,18.6,17,14.7,13.2,12.3,9.6,10.1,10.9,14.1,14.7,17.1,14.2
1994,20.3,20.5,17,15.8,14.2,10.4,10,10.7,12,13.7,15.8,18.6,14.9
1995,19.7,20.6,18.7,18.1,14.1,11.6,9.9,10.2,12.6,13.9,15.6,19.3,15.4
1996,20.6,20.6,17.2,16.8,12.9,10.4,10.6,11.2,13.5,14.6,15.6,17.1,15.1
1997,18.3,20.2,18.2,15.1,14.2,9.9,9.6,10.6,12.4,14.3,16.5,18.3,14.8
1998,19.8,21.9,20.1,17,14.4,12.9,12.8,11.7,13.5,15.8,17,19,16.3
1999,21.8,20.6,19.8,16.5,13.8,10.9,10.5,10.2,12.5,15,16.9,17.5,15.5
2000,19.3,19.5,18.4,16.6,14.7,12.1,12.6,11.2,12.8,14.9,14.6,19.4,15.5
2001,18.5,21.2,18.8,16.4,14.5,10.6,9.3,11.7,12.9,16.2,16.9,19.4,15.5
2002,19.4,19.1,19.1,15.6,14.7,13.4,10.7,11.1,13.2,13,15.1,18.1,15.2
2003,19.2,18.9,19.3,16.4,13.9,12.5,9.5,11.2,13.2,13.2,15.3,19.1,15.1
2004,20.3,19.3,16.4,14.7,13.7,12.2,9.8,9.7,11.7,14.5,15.9,16,14.5
2005,19.3,21,19.3,15.9,14.6,11.4,11.4,11.4,13.9,15.1,16.1,19.4,15.8
2006,20.1,19.8,18.5,17.5,13.6,9.4,9.7,10.8,13.4,14.1,16.5,15.8,14.9
2007,19.6,19.9,19.6,15.5,14.9,11.4,11.1,12,13.4,14.5,15.8,19,15.6
2008,21.6,20.1,19.6,16.5,12.3,,10.9,11.5,13,14.8,17,18.4,
2009,19.8,21.1,18,15.9,11.5,9.6,10,13.3,13.2,13.5,16.2,18.1,15
2010,19.8,21.4,18.8,16.3,13.9,11.8,9.9,12.2,13.7,14.3,16.9,20.4,15.8
2011,20.9,21.6,18.6,16.1,14.9,12.6,11.5,10.4,11.8,15.2,16.6,18.7,15.7
2012,18.9,19.8,17.8,16.6,13,11.1,10.7,12.1,13.3,14.3,15.6,19.6,15.2
2013,20.1,19.9,19.3,17,13.8,12,10.8,12.7,13.5,15.1,17.4,18.6,15.9
2014,18.9,20.4,18.2,17.4,13.5,12.6,10.3,11.6,13.5,14.5,15.5,18.3,15.4
2015,20.6,19.8,19.5,16.7,13.3,12.1,10.3,10.8,12.7,14.7,16.4,18.3,15.4
2016,21.3,22.1,20.1,16.9,15.9,12.4,11.6,10.9,14,14.8,16.5,17.7,16.2
2017,19,20.3,19.4,17.4,13.5,11.6,10.6,12.2,13.4,15.5,17.3,20.4,15.9
2018,22.7,21.1,19.9,16.7,14.1,11.1,10.4,11.5,13.1,14,16.5,19.1,15.9
2019,21.4,20.8,19.5,15.4,14.4,,11.2,12,13.1,14.7,17.6,18.9,
2020,19.9,21.3,18.5,16,13.6,12.4,11.1,12,13.1,15.7,17.2,18.6,15.8
2021,20.1,20.1,19,16.6,14,13.1,10.8,11.8,13.1,15.8,18.3,21.1,16.1
2022,21.4,22.3,20.2,17.3,14.7,12.8,12.7,12.3,13.1,14.9,17.5,19.8,16.6
2023,20.5,20.2,17.6,17.5,15.6,11.8,11.7,10.1,13.8,15.5,16.5,19.6,15.9
2024,21.5,20.2,17.3,16.4,12.6,13,11.2,11.9,13.7,14.8,17.1,19.8,15.8
